commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package stream - object ZSink - method dropWhileZIO,1.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method environment,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method environmentWith,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method environmentWithZIO,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method environmentWithSink,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method exists,1.0,0.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method fail,1.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method failCause,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method fold,6.0,5.0,29.0,27.0,0.0,0.0,31.0,18.0,6.0,2.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method fold - method foldChunkSplit,3.0,0.0,11.0,10.0,0.0,0.0,11.0,8.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method fold - method foldChunkSplit - method fold,3.0,0.0,7.0,7.0,0.0,0.0,10.0,8.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method fold - method reader,4.0,5.0,12.0,11.0,0.0,0.0,16.0,10.0,6.0,2.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldChunks,2.0,0.0,19.0,17.0,0.0,0.0,14.0,8.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldChunks - method reader,2.0,0.0,11.0,10.0,0.0,0.0,10.0,6.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldChunksZIO,2.0,0.0,16.0,14.0,0.0,0.0,18.0,10.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldChunksZIO - method reader,2.0,0.0,8.0,7.0,0.0,0.0,14.0,8.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method foldLeft,1.0,0.0,2.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldLeftChunks,1.0,0.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldLeftChunksZIO,1.0,0.0,4.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldLeftZIO,1.0,0.0,4.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - object ZSink - method foldUntil,2.0,5.0,10.0,10.0,0.0,0.0,20.0,10.0,10.0,3.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldUntilZIO,2.0,8.0,6.0,6.0,0.0,0.0,16.0,8.0,10.0,3.0,-0.0,0.0
HEAD,3,package stream - object ZSink - method foldWeighted,1.0,0.0,4.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.0,0.0
HEAD,3,package stream - object ZSink - method foldWeightedDecompose,8.0,5.0,47.0,39.0,7.0,0.15217391304347827,46.0,23.0,10.0,4.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldWeightedDecompose - method go,8.0,5.0,39.0,31.0,7.0,0.18421052631578946,42.0,21.0,10.0,4.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldWeightedDecompose - method go - method fold,5.0,0.0,23.0,15.0,7.0,0.3181818181818182,24.0,13.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - object ZSink - method foldWeightedDecomposeZIO,8.0,10.0,50.0,41.0,7.0,0.14583333333333334,63.0,28.0,10.0,4.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldWeightedDecomposeZIO - method go,8.0,10.0,42.0,33.0,7.0,0.175,59.0,26.0,10.0,4.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldWeightedDecomposeZIO - method go - method fold,5.0,0.0,30.0,21.0,7.0,0.25,38.0,16.0,0.0,0.0,-0.0,1.0
HEAD,1,package stream - object ZSink - method foldWeightedZIO,1.0,0.0,6.0,6.0,0.0,0.0,7.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldZIO,7.0,11.0,35.0,32.0,0.0,0.0,44.0,23.0,12.0,3.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldZIO - method foldChunkSplitZIO,3.0,0.0,15.0,13.0,0.0,0.0,18.0,11.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - object ZSink - method foldZIO - method foldChunkSplitZIO - method fold,3.0,0.0,10.0,8.0,0.0,0.0,17.0,11.0,0.0,0.0,-0.0,0.0
